"idarquivocampo";"classe";"arquivo";"campode";"campopara"
80;28;"LIM_Area_Uso_Comunitario_A.shp";"NOME";"nome"
76;28;"LIM_Area_Uso_Comunitario_P.shp";"NOME";"nome"
77;28;"LIM_Area_Uso_Comunitario_P.shp";"GEOMETRIAA";"geometriaAproximada"
78;28;"LIM_Area_Uso_Comunitario_P.shp";"TIPOAREAUS";"tipoAreaUsoComun"
278;46;"HID_Corredeira_P.shp";"NOME";"nome"
279;46;"HID_Corredeira_P.shp";"GEOMETRIAA";"geometriaAproximada"
280;46;"HID_Corredeira_P.shp";"NOMEABREV";"nomeAbrev"
281;46;"HID_Corredeira_L.shp";"NOME";"nome"
282;46;"HID_Corredeira_L.shp";"GEOMETRIAA";"geometriaAproximada"
283;46;"HID_Corredeira_L.shp";"NOMEABREV";"nomeAbrev"
284;46;"HID_Corredeira_A.shp";"NOME";"nome"
285;46;"HID_Corredeira_A.shp";"GEOMETRIAA";"geometriaAproximada"
286;46;"HID_Corredeira_A.shp";"NOMEABREV";"nomeAbrev"
9;2;"ENC_Antena_Comunic_P.shp";"NOME";"nome"
10;2;"ENC_Antena_Comunic_P.shp";"GEOMETRIAA";"geometriaAproximada"
11;2;"ENC_Antena_Comunic_P.shp";"POSICAOREL";"posicaoRelEdific"
12;2;"ENC_Antena_Comunic_P.shp";"NOMEABREV";"nomeAbrev"
1546;144;"LIM_Sub_Distrito_A.shp";"ANODEREFER";"anoDeReferencia"
1547;144;"LIM_Sub_Distrito_A.shp";"NOMEABREV";"nomeAbrev"
1495;138;"LIM_Regiao_Administrativa_A.shp";"NOME";"nome"
1148;111;"LOC_Nome_Local_P.shp";"NOME";"nome"
1496;138;"LIM_Regiao_Administrativa_A.shp";"GEOMETRIAA";"geometriaAproximada"
1497;138;"LIM_Regiao_Administrativa_A.shp";"ANODEREFER";"anoDeReferencia"
1498;138;"LIM_Regiao_Administrativa_A.shp";"NOMEABREV";"nomeAbrev"
132;33;"LIM_Bairro_A.shp";"NOME";"nome"
133;33;"LIM_Bairro_A.shp";"GEOMETRIAA";"geometriaAproximada"
134;33;"LIM_Bairro_A.shp";"ANODEREFER";"anoDeReferencia"
135;33;"LIM_Bairro_A.shp";"NOMEABREV";"nomeAbrev"
18;7;"LIM_Area_De_Litigio_A.shp";"NOME";"nome"
19;7;"LIM_Area_De_Litigio_A.shp";"GEOMETRIAA";"geometriaAproximada"
20;7;"LIM_Area_De_Litigio_A.shp";"DESCRICAO";"descricao"
21;7;"LIM_Area_De_Litigio_A.shp";"NOMEABREV";"nomeAbrev"
302;50;"LIM_Delimitacao_Fisica_L.shp";"NOME";"nome"
303;50;"LIM_Delimitacao_Fisica_L.shp";"GEOMETRIAA";"geometriaAproximada"
304;50;"LIM_Delimitacao_Fisica_L.shp";"TIPODELIMF";"tipoDelimFis"
305;50;"LIM_Delimitacao_Fisica_L.shp";"MATCONSTR";"matConstr"
306;50;"LIM_Delimitacao_Fisica_L.shp";"ELETRIFICA";"eletrificada"
307;50;"LIM_Delimitacao_Fisica_L.shp";"NOMEABREV";"nomeAbrev"
1834;168;"LIM_Unidade_Uso_Sustentavel_P.shp";"NOME";"nome"
1835;168;"LIM_Unidade_Uso_Sustentavel_P.shp";"GEOMETRIAA";"geometriaAproximada"
1836;168;"LIM_Unidade_Uso_Sustentavel_P.shp";"ANOCRIACAO";"anoCriacao"
1837;168;"LIM_Unidade_Uso_Sustentavel_P.shp";"SIGLA";"sigla"
1838;168;"LIM_Unidade_Uso_Sustentavel_P.shp";"AREAOFICIA";"areaOficial"
1839;168;"LIM_Unidade_Uso_Sustentavel_P.shp";"ATOLEGAL";"atoLegal"
1840;168;"LIM_Unidade_Uso_Sustentavel_P.shp";"ADMINISTRA";"administracao"
1841;168;"LIM_Unidade_Uso_Sustentavel_P.shp";"TIPOUNIDUS";"tipoUnidUsoSust"
1842;168;"LIM_Unidade_Uso_Sustentavel_P.shp";"NOMEABREV";"nomeAbrev"
1647;153;"TRA_Travessia_P.shp";"NOME";"nome"
1843;168;"LIM_Unidade_Uso_Sustentavel_A.shp";"NOME";"nome"
1844;168;"LIM_Unidade_Uso_Sustentavel_A.shp";"GEOMETRIAA";"geometriaAproximada"
1845;168;"LIM_Unidade_Uso_Sustentavel_A.shp";"ANOCRIACAO";"anoCriacao"
1846;168;"LIM_Unidade_Uso_Sustentavel_A.shp";"SIGLA";"sigla"
1847;168;"LIM_Unidade_Uso_Sustentavel_A.shp";"AREAOFICIA";"areaOficial"
1848;168;"LIM_Unidade_Uso_Sustentavel_A.shp";"ATOLEGAL";"atoLegal"
1849;168;"LIM_Unidade_Uso_Sustentavel_A.shp";"ADMINISTRA";"administracao"
1850;168;"LIM_Unidade_Uso_Sustentavel_A.shp";"TIPOUNIDUS";"tipoUnidUsoSust"
1851;168;"LIM_Unidade_Uso_Sustentavel_A.shp";"NOMEABREV";"nomeAbrev"
1816;167;"LIM_Unidade_Protecao_Integral_P.shp";"NOME";"nome"
1817;167;"LIM_Unidade_Protecao_Integral_P.shp";"GEOMETRIAA";"geometriaAproximada"
1818;167;"LIM_Unidade_Protecao_Integral_P.shp";"ANOCRIACAO";"anoCriacao"
1819;167;"LIM_Unidade_Protecao_Integral_P.shp";"SIGLA";"sigla"
1820;167;"LIM_Unidade_Protecao_Integral_P.shp";"AREAOFICIA";"areaOficial"
1821;167;"LIM_Unidade_Protecao_Integral_P.shp";"ATOLEGAL";"atoLegal"
1822;167;"LIM_Unidade_Protecao_Integral_P.shp";"ADMINISTRA";"administracao"
1823;167;"LIM_Unidade_Protecao_Integral_P.shp";"TIPOUNIDPR";"tipoUnidProtInteg"
1824;167;"LIM_Unidade_Protecao_Integral_P.shp";"NOMEABREV";"nomeAbrev"
1825;167;"LIM_Unidade_Protecao_Integral_A.shp";"NOME";"nome"
1826;167;"LIM_Unidade_Protecao_Integral_A.shp";"GEOMETRIAA";"geometriaAproximada"
1827;167;"LIM_Unidade_Protecao_Integral_A.shp";"ANOCRIACAO";"anoCriacao"
1828;167;"LIM_Unidade_Protecao_Integral_A.shp";"SIGLA";"sigla"
1829;167;"LIM_Unidade_Protecao_Integral_A.shp";"AREAOFICIA";"areaOficial"
1830;167;"LIM_Unidade_Protecao_Integral_A.shp";"ATOLEGAL";"atoLegal"
1831;167;"LIM_Unidade_Protecao_Integral_A.shp";"ADMINISTRA";"administracao"
1832;167;"LIM_Unidade_Protecao_Integral_A.shp";"TIPOUNIDPR";"tipoUnidProtInteg"
1833;167;"LIM_Unidade_Protecao_Integral_A.shp";"NOMEABREV";"nomeAbrev"
1615;148;"LIM_Terra_Publica_P.shp";"NOME";"nome"
1616;148;"LIM_Terra_Publica_P.shp";"GEOMETRIAA";"geometriaAproximada"
1617;148;"LIM_Terra_Publica_P.shp";"CLASSIFICA";"classificacao"
1618;148;"LIM_Terra_Publica_P.shp";"NOMEABREV";"nomeAbrev"
1619;148;"LIM_Terra_Publica_A.shp";"NOME";"nome"
1620;148;"LIM_Terra_Publica_A.shp";"GEOMETRIAA";"geometriaAproximada"
1621;148;"LIM_Terra_Publica_A.shp";"CLASSIFICA";"classificacao"
1622;148;"LIM_Terra_Publica_A.shp";"NOMEABREV";"nomeAbrev"
79;28;"LIM_Area_Uso_Comunitario_P.shp";"NOMEABREV";"nomeAbrev"
81;28;"LIM_Area_Uso_Comunitario_A.shp";"GEOMETRIAA";"geometriaAproximada"
82;28;"LIM_Area_Uso_Comunitario_A.shp";"TIPOAREAUS";"tipoAreaUsoComun"
83;28;"LIM_Area_Uso_Comunitario_A.shp";"NOMEABREV";"nomeAbrev"
