Estação: 50140 - ILHA FISCAL
Latitude: 22538S
Longitude: 043100W
Fuso: +030
Período da Análise: 01/01/1965 A 31/12/1965
Número de componentes: 33
Nível Médio: 70.16
Componentes:
|Nome     |Velocidade |H       |G       |
|SA       |000.0410686|00002.70|00020.70|
|SSA      |000.0821373|00001.50|00320.30|
|MM       |000.5443747|00001.80|00095.80|
|MSF      |001.0158958|00003.10|00161.60|
|MF       |001.0980331|00002.30|00125.70|
|SIGMA1   |012.9271398|00000.30|00079.70|
|Q1       |013.3986609|00002.60|00109.70|
|RO1      |013.4715145|00000.50|00065.20|
|O1       |013.9430356|00009.20|00103.70|
|P1       |014.9589314|00002.10|00137.80|
|K1       |015.0410686|00006.20|00143.50|
|J1       |015.5854433|00000.70|00044.00|
|MNS2     |027.4238337|00000.70|00125.20|
|2N2      |027.8953549|00001.00|00236.40|
|MU2      |027.9682084|00001.10|00156.30|
|N2       |028.4397295|00002.60|00173.50|
|OP2      |028.9019669|00002.40|00316.50|
|M2       |028.9841042|00031.80|00093.00|
|LAMBD2   |029.4556253|00000.30|00039.10|
|L2       |029.5284789|00001.40|00046.00|
|S2       |030.0000000|00017.90|00087.60|
|R2       |030.0410667|00000.50|00135.10|
|K2       |030.0821373|00005.70|00018.20|
|MSN2     |030.5443747|00000.60|00221.60|
|KJ2      |030.6265119|00000.00|00180.20|
|2SM2     |031.0158958|00000.30|00237.90|
|M3       |043.4761563|00000.70|00201.70|
|SK3      |045.0410686|00000.80|00215.80|
|MN4      |057.4238337|00002.00|00224.10|
|M4       |057.9682084|00004.80|00096.40|
|SN4      |058.4397295|00000.40|00204.00|
|MS4      |058.9841042|00003.10|00185.70|
|MK4      |059.0662415|00000.10|00254.10|
