Estação: 50140 - ILHA FISCAL
Latitude: 22538S
Longitude: 043100W
Fuso: +030
Período da Análise: 01/09/2003 A 31/08/2005
Número de componentes: 26
Nível Médio: 68.8686
Componentes:
|Nome     |Velocidade |H       |G       |
|SA       |000.0410686|00005.46|00012.65|
|SSA      |000.0821373|00004.40|00025.85|
|Q1       |013.3986609|00002.92|00060.74|
|RO1      |013.4715145|00000.55|00074.79|
|O1       |013.9430356|00010.48|00088.82|
|P1       |014.9589314|00002.13|00136.52|
|S1       |015.0000000|00001.09|00073.02|
|K1       |015.0410686|00005.89|00147.56|
|2N2      |027.8953549|00001.37|00142.97|
|MU2      |027.9682084|00001.74|00103.19|
|N2       |028.4397295|00003.91|00123.05|
|MTS2     |028.9430375|00000.79|00132.87|
|M2       |028.9841042|00032.45|00084.53|
|LAMBD2   |029.4556253|00000.53|00014.89|
|L2       |029.5284789|00001.31|00110.68|
|S2       |030.0000000|00017.91|00091.52|
|K2       |030.0821373|00005.57|00084.19|
|KJ2      |030.6265119|00000.59|00265.51|
|M3       |043.4761563|00000.71|00196.16|
|S3       |045.0000000|00000.60|00188.69|
|N4       |056.8794590|00000.54|00335.92|
|MN4      |057.4238337|00002.32|00024.45|
|M4       |057.9682084|00005.11|00075.91|
|3MN4     |058.5125831|00000.73|00292.39|
|MS4      |058.9841042|00002.63|00175.11|
|MK4      |059.0662415|00000.75|00180.45|
