ILHA FISCAL                                                                     
2253.48S0431.000W+.0              0.68     240109200331082005                
01/07/2020 02:54  4.4
01/07/2020 06:00 -7.8
01/07/2020 10:00  8.5
01/07/2020 12:08  6.3
01/07/2020 13:39  7.0
01/07/2020 17:53 ****
01/07/2020 21:21  6.7
02/07/2020 00:47 -7.0
02/07/2020 03:54  2.6
02/07/2020 06:53 -5.6
02/07/2020 11:04 10.4
02/07/2020 18:24 -6.8
02/07/2020 22:04  3.3
03/07/2020 01:38 -5.4
03/07/2020 04:58  0.9
03/07/2020 07:32 -1.9
03/07/2020 12:06  9.5
03/07/2020 18:26 -3.8
03/07/2020 22:00 -0.9
04/07/2020 01:41 -3.4
04/07/2020 13:54  7.1
04/07/2020 18:26 -2.7
04/07/2020 20:56 -0.5
05/07/2020 00:21 -6.3
05/07/2020 04:00  0.2
05/07/2020 06:00 -1.4
05/07/2020 09:45  6.2
05/07/2020 12:45  0.8
05/07/2020 15:53  7.3
05/07/2020 19:34 -2.4
05/07/2020 21:38 -0.4
06/07/2020 01:00 -9.4
06/07/2020 04:45  3.3
06/07/2020 07:08 -1.5
06/07/2020 10:24  8.2
06/07/2020 13:45 -3.4
06/07/2020 17:04 10.1
06/07/2020 20:53 -3.9
06/07/2020 22:43 -2.1
07/07/2020 01:51 ****
07/07/2020 05:32  5.7
07/07/2020 08:09 -1.5
07/07/2020 11:13  8.7
07/07/2020 14:34 -5.9
07/07/2020 18:00 13.0
07/07/2020 21:56 -7.3
08/07/2020 00:06 -3.4
08/07/2020 02:45 -8.2
08/07/2020 06:21  6.8
08/07/2020 09:11 -1.4
08/07/2020 12:06  7.7
08/07/2020 15:19 -6.2
08/07/2020 18:53 14.1
08/07/2020 22:47 ****
09/07/2020 01:49 -2.1
09/07/2020 03:51 -4.8
09/07/2020 07:17  6.2
09/07/2020 10:11 -1.1
09/07/2020 13:02  6.0
09/07/2020 16:08 -4.6
09/07/2020 19:38 12.5
09/07/2020 23:28 ****
10/07/2020 03:02  1.5
10/07/2020 05:13 -1.7
10/07/2020 08:24  4.4
10/07/2020 11:11 -0.1
10/07/2020 14:02  4.3
10/07/2020 17:00 -1.9
10/07/2020 20:11  8.6
11/07/2020 00:09 ****
11/07/2020 04:02  4.7
11/07/2020 07:02 -1.2
11/07/2020 10:13  2.8
11/07/2020 12:36  1.7
11/07/2020 14:58  2.8
11/07/2020 17:54  0.6
11/07/2020 20:41  3.5
12/07/2020 00:49 -8.8
12/07/2020 04:58  5.8
12/07/2020 08:39 -2.3
12/07/2020 12:45  4.4
12/07/2020 16:49  1.2
12/07/2020 18:39  1.5
13/07/2020 00:08 -4.6
13/07/2020 05:56  4.5
13/07/2020 09:54 -3.1
13/07/2020 13:53  7.3
13/07/2020 17:38 -1.0
13/07/2020 19:47  0.7
13/07/2020 23:15 -6.7
14/07/2020 03:11  3.2
14/07/2020 05:51  0.8
14/07/2020 08:02  2.6
14/07/2020 11:04 -2.5
14/07/2020 14:51  9.7
14/07/2020 18:43 -4.3
14/07/2020 20:58 -1.3
14/07/2020 23:54 -7.9
15/07/2020 03:39  7.3
15/07/2020 06:54 -3.1
15/07/2020 09:53  4.0
15/07/2020 12:23 -1.2
15/07/2020 15:49 11.0
15/07/2020 19:45 -8.1
15/07/2020 22:15 -2.7
16/07/2020 00:41 -6.5
16/07/2020 04:15  9.2
16/07/2020 07:41 -6.0
16/07/2020 10:58  7.3
16/07/2020 13:43 -0.7
16/07/2020 16:47 10.9
16/07/2020 20:41 ****
16/07/2020 23:53 -1.9
17/07/2020 01:39 -3.8
17/07/2020 05:02  8.2
17/07/2020 08:19 -6.6
17/07/2020 11:51 10.2
17/07/2020 14:51 -1.2
17/07/2020 17:45  9.6
17/07/2020 21:32 ****
18/07/2020 01:04  0.5
18/07/2020 02:58 -1.5
18/07/2020 05:58  5.0
18/07/2020 09:00 -4.6
18/07/2020 12:32 11.4
18/07/2020 15:51 -2.4
18/07/2020 18:43  7.5
18/07/2020 22:23 ****
19/07/2020 02:04  2.3
19/07/2020 04:43 -1.6
19/07/2020 07:13  1.5
19/07/2020 09:23 -0.4
19/07/2020 13:02 10.8
19/07/2020 16:43 -3.4
19/07/2020 19:39  5.3
19/07/2020 23:15 -9.8
20/07/2020 02:58  2.3
20/07/2020 06:06 -3.7
20/07/2020 13:00  9.3
20/07/2020 17:17 -3.6
20/07/2020 20:32  3.2
21/07/2020 00:13 -5.9
21/07/2020 03:47  0.2
21/07/2020 07:06 -4.6
21/07/2020 12:26 11.2
21/07/2020 17:15 -3.7
21/07/2020 21:00  1.5
22/07/2020 04:06 -3.2
22/07/2020 06:17 -2.8
22/07/2020 07:45 -2.9
22/07/2020 12:58 13.0
22/07/2020 17:09 -6.1
22/07/2020 20:36  2.0
22/07/2020 23:04 -0.9
23/07/2020 01:38  1.7
23/07/2020 05:08 -6.5
23/07/2020 09:56  0.7
23/07/2020 13:51 12.3
23/07/2020 17:47 -8.4
23/07/2020 21:02  4.3
23/07/2020 23:56 -3.0
24/07/2020 02:41  3.7
24/07/2020 06:00 -8.7
24/07/2020 09:34  5.9
24/07/2020 12:00  1.0
24/07/2020 14:56  9.7
24/07/2020 18:30 -8.9
24/07/2020 21:49  6.0
25/07/2020 00:51 -5.2
25/07/2020 03:43  4.6
25/07/2020 06:49 -8.7
25/07/2020 10:13 10.5
25/07/2020 13:17 -2.6
25/07/2020 16:06  7.4
25/07/2020 19:24 -7.9
25/07/2020 22:38  6.3
26/07/2020 01:47 -7.0
26/07/2020 04:45  4.7
26/07/2020 07:36 -6.4
26/07/2020 10:58 13.3
26/07/2020 14:19 -7.2
26/07/2020 17:23  7.1
26/07/2020 20:32 -6.6
26/07/2020 23:32  5.2
27/07/2020 02:43 -7.9
27/07/2020 05:53  4.7
27/07/2020 08:21 -2.7
27/07/2020 11:41 13.5
27/07/2020 15:09 ****
27/07/2020 18:30  8.0
27/07/2020 21:45 -6.3
28/07/2020 00:36  3.4
28/07/2020 03:41 -7.5
28/07/2020 07:02  4.9
28/07/2020 09:08  1.5
28/07/2020 12:15 11.6
28/07/2020 16:00 ****
28/07/2020 19:23  8.4
28/07/2020 22:51 -7.0
29/07/2020 01:49  1.9
29/07/2020 04:45 -5.8
29/07/2020 08:43  5.4
29/07/2020 09:58  4.9
29/07/2020 12:47  8.7
29/07/2020 16:45 -8.4
29/07/2020 20:08  7.0
29/07/2020 23:49 -7.6
30/07/2020 03:02  1.6
30/07/2020 05:58 -3.4
30/07/2020 11:45  7.3
30/07/2020 17:09 -4.6
30/07/2020 20:43  3.6
31/07/2020 00:28 -6.9
31/07/2020 04:28  2.2
31/07/2020 07:39 -1.4
31/07/2020 12:21  8.1
31/07/2020 16:58 -1.8
31/07/2020 19:56  1.4
