"id_origem_dados_pontos","lon","lat","rumo","veloc","irin","mmsi","dh","imo","fonte","id_origem_dados","nome_navio"
"1569481126","-43.1699883","-22.9172367","0","0","PQ9497","710000438","2019-10-23 11:42:58-03","0","AIS-S","29","____________"
"1569469880","-26.47275","-5.98469","81.5","4.3","DTAT4","441057000","2019-10-23 11:42:56-03","0","AIS-S","29","216.DAE SUNG"
"1569463495","-56.216985","-34.8947317","0","0","DTBV6","441559000","2019-10-23 05:12:20-03","6803947","AIS-S","29","21.HAE IN"
"1569412240","-56.2170817","-34.89483","198","0","6KCD","440108000","2019-10-23 10:02:17-03","8706832","AIS-S","29","27HAEIN"
"1569582409","-60.61744","-32.970115","0","0","LW8487","701006515","2019-10-23 06:30:52-03","0","AIS-S","29","315 C DE LAS PALMAS"
"1569452120","-59.9037267","-31.09916","18","0.1","LW6619","701006612","2019-10-23 09:12:05-03","648217602","AIS-S","29","320 RIO PILCOMAYO"
"1569407670","-43.1626367","-22.810075","34.2","3.5","TELNAV","700000000","2019-10-23 06:35:32-03","123456789","AIS-S","29","5714"
"1569427734","-58.3514083","-34.63102","0","0","LW9314","701000798","2019-10-23 03:38:56-03","7815703","AIS-S","29","573 B"
"1569566304","-56.43232","-40.6939983","5.4","12.9","DTBT2","440854000","2019-10-23 00:35:42-03","8608822","AIS-S","29","707 HONG JIN"
"1569428328","-56.3656217","-38.9667567","347.8","9.5","DTBT 2","440854000","2019-10-23 09:17:25-03","8608822","AIS-S","29","707 HONG JIN"
"1569373746","-57.53957","-38.0451517","0","0","LW 9109","701000962","2019-10-23 01:40:01-03","8626836","AIS-S","29","75 TAE BAEK"
"1569423532","-57.5362933","-38.04861","31","9.7","LW 6735","701000719","2019-10-23 09:35:42-03","8701985","AIS-S","29","7 DE DICIEMBRE"
"1569400724","-28.0833817","-26.5678567","104","13.9","PU2014","710032990","2019-10-23 09:05:11-03","9453896","AIS-S","29","ABDIAS NASCIMENTO"
"1569413655","-46.343125","-24.1718267","216","0","A8XL6","636014926","2019-10-23 10:38:42-03","9494022","AIS-S","29","ABU AL ABYAD"
"1569397214","-59.63194","-33.6914533","124.4","8.8","LW3860","701006400","2019-10-23 11:14:00-03","0","AIS-S","29","ACACIA"
"1569400701","-22.748965","-34.6751267","269","10.2","D5RZ9","636018913","2019-10-23 08:10:27-03","9693410","AIS-S","29","ACRA"
"1569555603","-60.72291","-32.69637","351","0","V7JS6","538006097","2019-10-23 08:35:12-03","9696400","AIS-S","29","AD ASTRA"
"1569409743","-58.5453283","-34.4355933","216.8","0","L2CG","701542000","2019-10-23 04:04:21-03","0","AIS-S","29","ADHARA II"
"1569444112","-46.2867033","-23.9787333","275","13.2","C6EA5","311000838","2019-10-23 05:12:17-03","9838838","AIS-S","29","ADMIRAL SCHMIDT"
"1569437260","-43.1576017","-23.0341717","223","0.2","V7EW8","538006307","2019-10-23 09:37:09-03","9419890","AIS-S","29","ADVANTAGE SUMMER"
"1569517589","-60.1756067","-33.350875","305","0.1","V7ZF4","538007660","2019-10-23 07:38:34-03","9577898","AIS-S","29","ADVENTURER"
"1569398793","-46.1989833","-24.0937333","233","17.5","7JDT","432666000","2019-10-23 09:16:16-03","9464388","AIS-S","29","AEGEAN HIGHWAY"
"1569413569","-38.322725","-37.8942383","91","12.7","3FWY9","372355000","2019-10-23 10:34:41-03","9650626","AIS-S","29","AENEAS"
"1569422986","-40.6612167","-25.4345783","279","10.2","5BNW4","212566000","2019-10-23 11:31:51-03","9461192","AIS-S","29","AEOLIAN FORTUNE"
"1569473870","-40.1940817","-20.3802017","181","0.2","V7CJ7","538005272","2019-10-23 10:02:07-03","9681546","AIS-S","29","AERIKO"
"1569433403","-58.71379","-38.574625","146","10.5","LXBS","253608000","2019-10-23 08:35:02-03","9823479","AIS-S","29","AFONSO DE ALBUQUERQU"
"1569496723","-36.2788333","-14.6307167","19","11.2","3EXI9","373641000","2019-10-23 06:06:08-03","9273844","AIS-S","29","AFRAMAX RIO"
"1569518987","-21.971255","-12.1731783","303","12.7","V7WN6","538007092","2019-10-23 06:06:04-03","9782948","AIS-S","29","AFRICAN BARI BIRD"
"1569492842","-44.893575","-34.4696967","267.1","12.5","3EYK4","372848000","2019-10-23 09:32:32-03","9688219","AIS-S","29","AFRICAN BATELEUR"
"1569469835","-32.6212667","-11.8799033","198","12.8","3FGG7","374242000","2019-10-23 06:39:39-03","9736418","AIS-S","29","AFRICAN BULKER"
"1569413394","-55.55154","-35.2191617","88","0.3","D5FD6","636016233","2019-10-22 23:42:03-03","9354076","AIS-S","29","AFRICAN JACARANDA"
