"latdd","longdd","id_origem_dados_pontos","nome_navio","lat","lon","rumo","id_origem_dados","the_geom","irin","imo","bandeira","destino","eta","veloc","dh","mmsi","nr_baliza","tipo_navio"
"-22.55006","-40.25952","1566849995","P 43","223300S","0401534W","0","11","010100000037548CF3372144C077D66EBBD08C36C0","null","7370208","null","null","null","0.1","2019-09-28 22:55:17-03","354903000","PLAT_PETRO_FPSO-43","PLATAFORMA"
"-22.42181","-39.95732","1559699328","PETROBRAS 53","222519S","0395726W","0","11","010100000043E7357689FA43C032207BBDFB6B36C0","","7385136","null","null","null","0.0","2019-09-28 23:03:19-03","538002370","PLAT_PETRO_FPSO-53","PLATAFORMA"
"-22.43451","-40.06847","1559699322","PETROBRAS 35","222604S","0400406W","36","11","0101000000E960FD9FC30844C0F3C81F0C3C6F36C0","","7351783","null","null","null","0.4","2019-09-28 23:03:19-03","636018074","PLAT_PETRO_FPSO-35","PLATAFORMA"
"-22.7038333333333","-40.8101033333333","821544766","PETROBRAS-XVII","-22.703833333333332","-40.81010333333333","338.4","17","01010000000C864D77B16744C05780DC6B2EB436C0","ELDX5","8754097","null","null","null","0.1","2016-10-12 13:15:07-03","636007610","PLAT_PETRO_P-17","PLATAFORMA"
"-22.4683366666667","-40.028665","821546477","P - 26","-22.468336666666666","-40.028665","132.2","17","010100000019C5724BAB0344C0DAD96AE9E47736C0","HP8997","8764169","null","null","null","0.1","2016-10-12 13:12:28-03","351281000","PLAT_PETRO_P-26","PLATAFORMA"
"-23.5130716666667","-41.0639566666667","821546708","PETROBRAS 63","-23.513071666666665","-41.06395666666667","215.2","17","0101000000E6D867BB2F8844C069D62CAA588337C0","ZCDP6","7385124","null","null","null","0.1","2016-10-12 13:15:42-03","538005076","PLAT_PETRO_FPSO-63","PLATAFORMA"
"-22.1319633333333","-39.96843","821546797","PETROBRAS-31","-22.131963333333335","-39.96843","222","17","01010000008E3BA583F5FB43C015F05859C82136C0","HP-9034","7351800","null","null","null","0.1","2016-10-12 13:07:34-03","351279000","PLAT_PETRO_FPSO-31","PLATAFORMA"
"-22.759615","-40.6835933333333","821546798","P-07","-22.759615","-40.683593333333334","72.2","17","0101000000143781FC7F5744C0118DEE2076C236C0","3FWD3","8754009","null","null","null","0.2","2016-10-12 13:10:54-03","353782000","PLAT_PETRO_P-07","PLATAFORMA"
"-22.75019","-40.6050033333333","821564582","BASSDRILL BETA","-22.75019","-40.605003333333336","153.5","17","01010000009F51CDBF704D44C047C9AB730CC036C0","3FSL4","8771801","null","null","null","0.1","2016-10-12 12:24:26-03","357681000","PLAT_PETRO_SS-88","PLATAFORMA"
"-22.75019","-40.6050033333333","821564582","BASSDRILL BETA","-22.75019","-40.605003333333336","153.5","17","01010000009F51CDBF704D44C047C9AB730CC036C0","3FSL4","8771801","null","null","null","0.1","2016-10-12 12:24:26-03","357681000","01040268SKY7BF9","PLATAFORMA"
"-22.132395","-39.9679083333333","1045234841","PETROBRAS-31","-22.132395","-39.967908333333334","57.8","15","0101000000A598966BE4FB43C0672783A3E42136C0","HP-9034","7351800","null","null","null","0.4","2017-06-26 17:29:05-03","351279000","PLAT_PETRO_FPSO-31","PLATAFORMA"
